token | ST Pos

int | (-1, -1)
identifier | (49, 0)
, | (-1, -1)
identifier | (1, 0)
, | (-1, -1)
identifier | (48, 0)
; | (-1, -1)
read | (-1, -1)
( | (-1, -1)
identifier | (49, 0)
) | (-1, -1)
; | (-1, -1)
read | (-1, -1)
( | (-1, -1)
identifier | (1, 0)
) | (-1, -1)
; | (-1, -1)
read | (-1, -1)
( | (-1, -1)
identifier | (48, 0)
) | (-1, -1)
; | (-1, -1)
if | (-1, -1)
( | (-1, -1)
identifier | (49, 0)
>= | (-1, -1)
identifier | (1, 0)
>= | (-1, -1)
constant | (49, 1)
|| | (-1, -1)
identifier | (49, 0)
>= | (-1, -1)
identifier | (48, 0)
>= | (-1, -1)
identifier | (1, 0)
) | (-1, -1)
then | (-1, -1)
{ | (-1, -1)
print | (-1, -1)
( | (-1, -1)
identifier | (49, 0)
) | (-1, -1)
; | (-1, -1)
} | (-1, -1)
else | (-1, -1)
{ | (-1, -1)
if | (-1, -1)
( | (-1, -1)
identifier | (1, 0)
>= | (-1, -1)
identifier | (49, 0)
>= | (-1, -1)
identifier | (48, 0)
|| | (-1, -1)
identifier | (1, 0)
>= | (-1, -1)
identifier | (48, 0)
>= | (-1, -1)
identifier | (49, 0)
) | (-1, -1)
then | (-1, -1)
{ | (-1, -1)
print | (-1, -1)
( | (-1, -1)
identifier | (1, 0)
) | (-1, -1)
; | (-1, -1)
} | (-1, -1)
else | (-1, -1)
{ | (-1, -1)
if | (-1, -1)
( | (-1, -1)
identifier | (2, 0)
>= | (-1, -1)
identifier | (49, 0)
>= | (-1, -1)
identifier | (1, 0)
|| | (-1, -1)
identifier | (2, 0)
>= | (-1, -1)
identifier | (1, 0)
>= | (-1, -1)
identifier | (49, 0)
) | (-1, -1)
then | (-1, -1)
{ | (-1, -1)
print | (-1, -1)
( | (-1, -1)
identifier | (2, 0)
) | (-1, -1)
; | (-1, -1)
} | (-1, -1)
} | (-1, -1)
} | (-1, -1)
return | (-1, -1)
; | (-1, -1)
